position,player,team,age,total_value,avg_year,total_guaranteed,fully_guaranteed,free_agency,MAX,MIN,sum,sumif,sumifs,If,ifs,len,left,right,trim,concatenate,substitute,substitute,xlookup,vlookup
4-3-defensive-tackle,Kawann Short,Panthers,30,80500000,16100000,45000000,35000000,2022 UFA,,,,,,Young,Thirty,12,Kawann,thers,Kawann Short,Falcons - Grady Jarrett,Falcons - Grady Jarrett,,,
4-3-defensive-tackle,Grady Jarrett,Falcons,26,15209000,15209000,0,0,2020 UFA,,,,,,Young,#N/A,13,Grady ,lcons,Grady Jarrett,Jaguars - Marcell Dareus,Jaguars - Marcell Dareus,,,
4-3-defensive-tackle,Marcell Dareus,Jaguars,29,28085000,14042500,7835000,7835000,2021 UFA,,,,,,Young,#N/A,14,Marcel,guars,Marcell Dareus,Vikings - Linval Joseph,Vikings - Linval Joseph,,,
4-3-defensive-tackle,Linval Joseph,Vikings,31,50000000,12500000,31500000,11150000,2023 UFA,,,,,,old,#N/A,13,Linval,kings,Linval Joseph,Browns - Sheldon Richardson,Browns - Sheldon Richardson,,,
4-3-defensive-tackle,Sheldon Richardson,Browns,29,37000000,12333333,21500000,15000000,2022 UFA,,,,,,Young,#N/A,18,Sheldo,rowns,Sheldon Richardson,Falcons - Grady Jarrett,Falcons - Grady Jarrett,,,
defensive-line,Grady Jarrett,Falcons,26,15209000,15209000,0,0,2020 UFA,,,,,,Young,#N/A,13,Grady ,lcons,Grady Jarrett,Titans - Jurrell Casey,Titans - Jurrell Casey,,,
defensive-line,Jurrell Casey,Titans,30,60400000,15100000,40000000,22000000,2023 UFA,,,,,,Young,Thirty,13,Jurrel,itans,Jurrell Casey,Buccaneers - Jason Pierre-Paul,Buccaneers - Jason Pierre-Paul,,,
defensive-line,Jason Pierre-Paul,Buccaneers,30,62000000,15000000,40000000,29000000,2021 UFA,,,,,,Young,Thirty,17,Jason ,neers,Jason Pierre-Paul,Jaguars - Calais Campbell,Jaguars - Calais Campbell,,,
defensive-line,Calais Campbell,Jaguars,33,60000000,15000000,30000000,30000000,2021 UFA,,,,,,old,#N/A,15,Calais,guars,Calais Campbell,Vikings - Everson Griffen,Vikings - Everson Griffen,,,
defensive-line,Everson Griffen,Vikings,32,58000000,14500000,34000000,18800000,2023 UFA,,,,,,old,#N/A,15,Everso,kings,Everson Griffen,Vikings - Danielle Hunter,Vikings - Danielle Hunter,,,
defensive-line,Danielle Hunter,Vikings,25,72000000,14400000,40007000,16907000,2024 UFA,,,,,,Young,#N/A,15,Daniel,kings,Danielle Hunter,Jaguars - Marcell Dareus,Jaguars - Marcell Dareus,,,
defensive-line,Marcell Dareus,Jaguars,29,28085000,14042500,7835000,7835000,2021 UFA,,,,,,Young,#N/A,14,Marcel,guars,Marcell Dareus,Bengals - Carlos Dunlap,Bengals - Carlos Dunlap,,,
defensive-line,Carlos Dunlap,Bengals,30,40500000,13500000,22000000,18000000,2022 UFA,,,,,,Young,Thirty,13,Carlos,ngals,Carlos Dunlap,Broncos - Dekoda Watson,Broncos - Dekoda Watson,,,
3-4-outside-linebacker,Dekoda Watson,Broncos,31,5000000,1666667,1000000,1000000,2020 UFA,,,,,,old,#N/A,13,Dekoda,oncos,Dekoda Watson,Titans - Kamalei Correa,Titans - Kamalei Correa,,,
3-4-outside-linebacker,Kamalei Correa,Titans,25,5749638,1437410,3542903,3542903,2020 UFA,,,,,,Young,#N/A,14,Kamale,itans,Kamalei Correa,Ravens - Tyus Bowser,Ravens - Tyus Bowser,,,
